Sample_ID,Date,Time,Analyte_Name,Wavelength,Int(Corr),Conc(Samp)
Blank,2017-08-11,09:57:47,As,193.696,-200.0614584, 
Blank,2017-08-11,09:57:47,Se,196.02599999999998,20.49710475, 
Blank,2017-08-11,09:57:47,Ca,317.933,50.74260972, 
Blank,2017-08-11,09:57:47,Cd,228.80200000000002,166.8372304, 
Blank,2017-08-11,09:57:47,Co,228.61599999999999,-140.8827486, 
Blank,2017-08-11,09:57:47,Cr,267.716,222.5066281, 
Blank,2017-08-11,09:57:47,Cu,327.393,763.6777353, 
Blank,2017-08-11,09:57:47,Fe,238.204,124.118747, 
Blank,2017-08-11,09:57:47,Li,670.784,-5607.921821, 
Blank,2017-08-11,09:57:47,Mg,285.21299999999997,-100.4523961, 
Blank,2017-08-11,09:57:47,Mg,280.27099999999996,124.9337911, 
Blank,2017-08-11,09:57:47,Mn,257.61,113.1476951, 
Blank,2017-08-11,09:57:47,Mo,202.03099999999998,82.33950585, 
Blank,2017-08-11,09:57:47,Ni,231.604,177.6136076, 
Blank,2017-08-11,09:57:47,Ni,341.476,6.167067275, 
Blank,2017-08-11,09:57:47,Pb,220.35299999999998,11.95817331, 
Blank,2017-08-11,09:57:47,Sb,206.83599999999998,55.05601935, 
Blank,2017-08-11,09:57:47,Sr,407.77099999999996,6594.291401, 
Blank,2017-08-11,09:57:47,Ti,334.94,41.47148995, 
Blank,2017-08-11,09:57:47,Tl,190.801,-127.0847863, 
Blank,2017-08-11,09:57:47,V,290.88,907.391297, 
Blank,2017-08-11,09:57:47,Zn,206.2,9545.328636, 
Blank,2017-08-11,09:57:47,Zn,213.857,16356.64354, 
Blank,2017-08-11,09:57:47,Na,589.592,1122.24475, 
Blank,2017-08-11,09:57:47,K,766.49,8553.655509, 
Qc21 1ppm,2017-08-11,09:59:31,As,193.696,2369.010635, 
Qc21 1ppm,2017-08-11,09:59:31,Se,196.02599999999998,1410.249758, 
Qc21 1ppm,2017-08-11,09:59:31,Ca,317.933,149315.1707, 
Qc21 1ppm,2017-08-11,09:59:31,Cd,228.80200000000002,35148.32411, 
Qc21 1ppm,2017-08-11,09:59:31,Co,228.61599999999999,33843.62962, 
Qc21 1ppm,2017-08-11,09:59:31,Cr,267.716,92482.87038, 
Qc21 1ppm,2017-08-11,09:59:31,Cu,327.393,100197.7267, 
Qc21 1ppm,2017-08-11,09:59:31,Fe,238.204,105899.6097, 
Qc21 1ppm,2017-08-11,09:59:31,Li,670.784,15586471.08, 
Qc21 1ppm,2017-08-11,09:59:31,Mg,285.21299999999997,225059.3768, 
Qc21 1ppm,2017-08-11,09:59:31,Mg,280.27099999999996,895965.5757, 
Qc21 1ppm,2017-08-11,09:59:31,Mn,257.61,514386.8913, 
Qc21 1ppm,2017-08-11,09:59:31,Mo,202.03099999999998,21703.18055, 
Qc21 1ppm,2017-08-11,09:59:31,Ni,231.604,29032.8069, 
Qc21 1ppm,2017-08-11,09:59:31,Ni,341.476,12074.54847, 
Qc21 1ppm,2017-08-11,09:59:31,Pb,220.35299999999998,6476.207744, 
