Analyte,Wavelength,Mermet_ax,Wash3,2ppm_Fe_ax,20ppmFe_ax,200ppmFe_ax,700ppmFe_ax,1000ppmFe_ax,2000ppmFe_ax,10000ppmFe_ax
Br 163.280,163.2415,85.8,84.2,84.4,96.0,200.3,434.2,550.8,843.1,1985.6
Br 163.280,163.2465,86.8,83.9,85.4,94.9,198.9,430.1,545.8,832.5,1966.1
Br 163.280,163.2515,87.6,84.2,85.7,95.6,203.7,429.3,547.3,836.4,1954.4
Br 163.280,163.2564,86.9,84.8,84.8,98.7,205.1,444.1,559.4,851.0,1970.3
Br 163.280,163.2614,87.7,84.6,85.6,97.1,202.3,431.7,553.0,835.7,1958.6
Br 163.280,163.2664,86.2,83.9,82.6,95.5,196.9,424.5,543.2,829.3,1942.6
Br 163.280,163.2714,86.3,83.5,84.0,96.0,197.1,424.8,539.3,826.6,1947.6
Br 163.280,163.2764,87.9,83.6,84.3,95.8,195.9,427.3,545.8,827.6,1954.5
Br 163.280,163.2813,86.8,83.0,83.3,95.8,196.4,425.3,540.3,832.7,1947.1
Br 163.280,163.2863,87.2,82.3,84.5,95.8,197.9,426.2,544.4,832.9,1947.5
Br 163.280,163.2913,88.3,83.4,84.7,96.4,197.0,427.1,543.2,831.1,1946.2
Br 163.280,163.2963,88.1,83.5,85.6,97.1,201.3,438.0,557.7,852.6,1982.9
Br 163.280,163.3013,86.0,83.2,82.7,94.6,201.8,438.6,561.0,861.4,1999.9
Br 163.280,163.3062,87.6,82.8,85.7,96.0,200.0,426.6,546.4,842.9,1952.3
Al 167.022,166.9748,94.6,89.5,92.1,105.4,228.3,496.5,634.6,974.9,2271.1
Al 167.022,166.9799,94.8,90.6,91.4,106.8,224.3,491.7,627.7,966.7,2260.9
Al 167.022,166.985,95.6,93.8,93.6,108.0,227.6,496.0,629.0,961.8,2272.4
Al 167.022,166.9901,96.0,92.0,93.9,106.8,224.7,491.1,630.9,971.0,2268.8
Al 167.022,166.9952,94.6,89.8,92.8,104.2,220.9,489.3,628.4,965.9,2271.2
Al 167.022,167.0003,94.2,90.0,90.2,104.0,225.1,494.6,634.1,974.9,2283.7
Al 167.022,167.0054,95.8,91.6,93.1,107.0,228.1,499.3,636.5,982.3,2289.5
Al 167.022,167.0105,95.2,90.4,91.8,106.4,232.8,517.9,662.2,1026.5,2393.3
Al 167.022,167.0156,96.1,91.0,93.9,111.2,268.5,631.1,807.0,1271.8,2922.4
Al 167.022,167.0207,97.2,93.0,97.1,113.6,266.9,613.3,788.7,1243.2,2888.5
Al 167.022,167.0258,97.0,92.6,95.4,110.1,233.3,512.4,657.9,1016.3,2380.7
Al 167.022,167.0309,95.8,92.8,94.7,109.0,231.6,505.3,647.5,995.8,2343.7
Al 167.022,167.03599999999997,95.0,90.6,93.2,106.1,228.5,505.9,648.9,1003.9,2361.0
Al 167.022,167.0411,95.8,91.4,92.6,106.7,231.2,510.4,646.7,1006.2,2378.7
Al 167.022,167.0462,95.0,92.8,92.4,104.3,227.3,505.7,641.5,989.7,2341.9
Al 167.022,167.0513,96.2,90.8,93.0,106.4,227.5,498.7,639.7,982.4,2304.1
Al 167.022,167.0564,93.4,89.3,91.9,105.2,226.2,496.0,627.8,970.3,2287.0
Al 167.022,167.0615,94.0,88.4,90.9,105.4,225.0,491.5,630.0,966.7,2283.9
Al 167.022,167.0666,95.0,91.7,90.5,104.0,225.1,492.8,628.0,974.9,2286.9
Al 167.022,167.0717,94.8,87.8,91.0,104.4,223.1,497.5,631.3,971.0,2286.2
Al 167.022,167.0768,91.8,89.2,91.2,103.4,224.3,493.6,628.3,969.9,2272.2
Al 167.022,167.0819,93.2,89.8,91.3,103.6,226.2,502.9,638.9,985.1,2307.7
Al 167.022,167.08700000000002,94.3,90.4,91.3,106.4,223.9,502.6,637.1,983.5,2285.0
Al 167.022,167.0921,94.8,91.9,93.8,106.8,223.3,491.2,625.2,966.1,2243.7
Al 167.022,167.0972,95.3,90.2,89.9,105.0,223.1,488.1,621.1,957.8,2238.3
Al 167.022,167.1023,93.1,88.5,92.5,103.2,223.7,486.2,620.8,956.3,2229.9
Al 167.022,167.1074,92.8,89.8,92.7,104.8,223.2,486.4,623.9,955.7,2240.4
Al 167.022,167.1125,93.1,89.6,91.3,103.7,220.6,489.4,619.7,948.4,2224.9
Al 167.022,167.1176,93.6,89.5,90.5,102.9,223.9,479.8,615.0,945.0,2215.1
Al 167.022,167.1227,92.4,90.1,90.0,103.4,219.4,481.4,616.9,936.9,2202.1
Pb 168.154,168.1143,89.2,86.2,87.2,98.4,205.7,443.2,564.4,877.1,2085.5
Pb 168.154,168.1195,88.8,84.1,86.6,99.3,205.2,444.7,572.5,878.2,2093.4
Pb 168.154,168.1246,90.4,86.0,86.0,100.2,209.3,448.3,574.3,878.0,2108.0
Pb 168.154,168.1297,87.6,85.2,86.1,97.9,208.7,448.2,572.2,881.0,2108.0
Pb 168.154,168.1348,89.4,86.7,85.8,99.4,207.6,448.5,571.6,890.2,2108.5
Pb 168.154,168.14,88.9,86.2,87.8,98.9,207.7,449.4,573.1,883.5,2110.2
